4.69,-1.77,150.14,141,-1.78,149.62,141,0,0
4.7,-1.78,150.13,8190,-1.78,149.62,141,0,0
4.69,-1.79,149.49,143,-1.78,149.62,141,0,0
4.69,-1.79,149.5,141,-1.78,149.62,141,0,0
4.7,-1.82,150.11,143,-1.78,149.62,141,0,0
4.71,-1.78,150.11,139,-1.78,149.62,141,0,0
4.7,-1.73,149.43,8190,-1.78,149.62,141,0,0
4.69,-1.74,149.44,141,-1.78,149.62,141,0,0
4.69,-1.77,150.06,138,-1.78,149.62,141,0,0
4.7,-1.79,150.05,142,-1.78,149.62,141,0,0
4.69,-1.8,149.49,141,-1.78,149.62,141,0,0
4.69,-1.82,149.49,8190,-1.78,149.62,141,0,0
4.69,-1.83,149.8,142,-1.78,149.62,141,0,0
4.69,-1.84,149.8,138,-1.78,149.62,141,0,0
4.7,-1.87,149.58,141,-1.78,149.62,141,0,0
4.7,-1.88,149.58,138,-1.78,149.62,141,0,0
4.7,-1.87,149.73,8190,-1.78,149.62,141,0,0
4.71,-1.88,149.72,142,-1.78,149.62,141,0,0
4.7,-1.88,149.66,140,-1.78,149.62,141,0,0
4.7,-1.87,149.66,143,-1.78,149.62,141,0,0
4.7,-1.88,149.85,8190,-1.78,149.62,141,0,0
4.71,-1.87,149.85,139,-1.78,149.62,141,0,0
4.7,-1.89,149.79,141,-1.78,149.62,141,0,0
4.69,-1.9,149.79,140,-1.78,149.62,141,0,0
4.7,-1.93,150.09,8190,-1.78,149.62,141,0,0
4.71,-1.94,150.09,142,-1.78,149.62,141,0,0
4.7,-1.94,149.7,141,-1.78,149.62,141,0,0
4.69,-1.93,149.71,138,-1.78,149.62,141,0,0
4.68,-1.95,149.91,141,-1.78,149.62,141,0,0
4.67,-1.94,149.91,8190,-1.78,149.62,141,0,0
4.66,-1.89,149.67,140,-1.78,149.62,141,0,0
4.66,-1.9,149.67,140,-1.78,149.62,141,0,0
4.65,-1.89,149.74,141,-1.78,149.62,141,0,0
4.66,-1.9,149.73,143,-1.78,149.62,141,0,0
